Wave,H_base_V0,H_base_V1,Tot_base_V0,Tot_base_V1,H_V0,H_V1,Diff,Diff_V1
79,1056.516667,1653.233333,2584.297794,3215.731618,40.88,51.41,10.53,
80,1043.511765,1689.498039,2582.242647,3215.573529,40.41,52.54,12.13,1.13
81,1043.977002,1668.183007,2587.460038,3215.573529,40.35,51.88,11.53,-0.66
82,1043.977002,1668.183007,2587.460038,3215.573529,40.35,51.88,11.53,0
83,994.2789749,1505.818873,2558.210838,3215.731618,38.87,46.83,7.96,-5.05
84,998.881606,1411.436928,2586.626961,3215.910784,38.62,43.89,5.27,-2.94
85,968.5060991,1376.925794,2594.921558,3216.241667,37.32,42.81,5.49,-1.08
86,959.9673203,1376.8155,2581.826961,3215.910784,37.18,42.81,5.63,0
87,904.1760159,1328.232166,2560.540004,3215.910784,35.31,41.3,5.99,-1.51
88,859.1787699,1247.544841,2538.275595,3216.241667,33.85,38.79,4.94,-2.51
89,858.1530346,1247.434547,2540.940056,3221.294118,33.77,38.72,4.95,-0.07
90,854.9673203,1104.048833,2544.368627,3221.294118,33.6,34.27,0.67,-4.45
91,813.5161616,1285.888889,2529.346212,3215.616667,32.16,39.99,7.83,5.72
92,802.3033685,1272.929915,2611.201609,3238.08547,30.73,39.31,8.58,-0.68
93,804.0918301,1273.122222,2616.566994,3238.662393,30.73,39.31,8.58,0
94,794.5504274,1268.596581,2614.259615,3238.682692,30.39,39.17,8.78,-0.14
95,807.0115385,1297.407692,2584.713187,3230.117882,31.22,40.17,8.95,1
96,836.2245254,986.1648352,2607.840382,3340.431868,32.07,29.52,-2.55,-10.65
97,830.1639194,986.1648352,2531.932234,3328.28022,32.79,29.63,-3.16,0.11
98,865.3484432,1189.432692,2547.727473,3315.323077,33.97,35.88,1.91,6.25
99,910.1906567,1291.777778,2582.146104,3328.857143,35.25,38.81,3.56,2.93
100,873.6091576,1091.541026,2564.998901,3328.28022,34.06,32.8,-1.26,-6.01
101,871.393773,1091.733333,2563.351649,3336.708791,33.99,32.72,-1.27,-0.08
102,989.4215508,1371.768803,2570.39011,3369.108791,38.49,40.72,2.23,8
103,1055.27265,1396.680342,2566.700582,3319.846154,41.11,42.07,0.96,1.35
104,1022.667284,1400.413675,2505.257919,3319.846154,40.82,42.18,1.36,0.11
105,997.3950986,1217.78547,2495.725072,3267.083077,39.96,37.27,-2.69,-4.91
106,933.4808129,1172.652137,2495.725072,3256.736569,37.4,36.01,-1.39,-1.26
107,933.4808129,1172.652137,2495.725072,3256.736569,37.4,36.01,-1.39,0
108,933.4808129,1172.652137,2495.725072,3256.736569,37.4,36.01,-1.39,0
